dataset,family_id,family_label,result_type,result_label,num_folds,rmse_raw_mean,rmse_raw_std,rmse_raw_table,mode,source,entry_id,entry_label
califonia_housing,knn_x,kNN(X),baseline,kNN(X),5,0.6344773292541503,0.024006779352033887,0.6345 +/- 0.0240,kfold,baseline,knn_x,kNN(X)
califonia_housing,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,5,0.4638073265552521,0.00951590261902137,0.4638 +/- 0.0095,kfold,baseline,mlkr_knn,MLKR+kNN
califonia_housing,mlp,MLP,baseline,MLP,5,0.5074536144733429,0.0097077374064366,0.5075 +/- 0.0097,kfold,baseline,mlp,MLP
diabets,knn_x,kNN(X),baseline,kNN(X),5,59.20099105834961,3.28745111778299,59.2010 +/- 3.2875,kfold,baseline,knn_x,kNN(X)
diabets,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,5,58.598785400390625,3.2137004444002075,58.5988 +/- 3.2137,kfold,baseline,mlkr_knn,MLKR+kNN
diabets,mlp,MLP,baseline,MLP,5,53.849762725830075,2.826487193458755,53.8498 +/- 2.8265,kfold,baseline,mlp,MLP
abalone,knn_x,kNN(X),baseline,kNN(X),5,2.2982470989227295,0.14830195471598437,2.2982 +/- 0.1483,kfold,baseline,knn_x,kNN(X)
abalone,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,5,2.11485071182251,0.1277827446153238,2.1149 +/- 0.1278,kfold,baseline,mlkr_knn,MLKR+kNN
abalone,mlp,MLP,baseline,MLP,5,2.0625351667404175,0.13187723728678172,2.0625 +/- 0.1319,kfold,baseline,mlp,MLP
body_fat,knn_x,kNN(X),baseline,kNN(X),5,0.013026826828718186,0.0015555021509964296,0.0130 +/- 0.0016,kfold,baseline,knn_x,kNN(X)
body_fat,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,5,0.012086888961493968,0.0015284631811413698,0.0121 +/- 0.0015,kfold,baseline,mlkr_knn,MLKR+kNN
body_fat,mlp,MLP,baseline,MLP,5,0.011007115617394448,0.0006465993644376753,0.0110 +/- 0.0006,kfold,baseline,mlp,MLP
airfoil,knn_x,kNN(X),baseline,kNN(X),5,2.6450284481048585,0.3324390066851321,2.6450 +/- 0.3324,kfold,baseline,knn_x,kNN(X)
airfoil,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,5,2.737097692489624,0.24183913677386787,2.7371 +/- 0.2418,kfold,baseline,mlkr_knn,MLKR+kNN
airfoil,mlp,MLP,baseline,MLP,5,2.363498497009277,0.21609335642094618,2.3635 +/- 0.2161,kfold,baseline,mlp,MLP
car,knn_x,kNN(X),baseline,kNN(X),5,12365.606640625,1753.7516119774054,12365.6066 +/- 1753.7516,kfold,baseline,knn_x,kNN(X)
car,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,5,15034.9416015625,1960.6137563348877,15034.9416 +/- 1960.6138,kfold,baseline,mlkr_knn,MLKR+kNN
car,mlp,MLP,baseline,MLP,5,18037.69453125,2748.313067945357,18037.6945 +/- 2748.3131,kfold,baseline,mlp,MLP
