dataset,MLKR+kNN,MLP,NN-kNN (softmax) + locality - locality,NN-kNN (softmax) + locality - locality + adaptation,NN-kNN (softmax) - adaptation,NN-kNN (softmax) - pure,NN-kNN (sparsemax) + locality - locality,NN-kNN (sparsemax) + locality - locality + adaptation,NN-kNN (sparsemax) - adaptation,NN-kNN (sparsemax) - pure,kNN(X)
abalone,2.1149 +/- 0.1278,2.0625 +/- 0.1319,2.1613 +/- 0.1570,2.0945 +/- 0.1370,2.0977 +/- 0.1498,2.1538 +/- 0.1493,2.2312 +/- 0.1681,2.1620 +/- 0.1609,2.1529 +/- 0.1492,2.2327 +/- 0.1599,2.2982 +/- 0.1483
airfoil,2.7371 +/- 0.2418,2.3635 +/- 0.2161,2.2312 +/- 0.2783,2.1655 +/- 0.2956,2.0845 +/- 0.2807,2.1657 +/- 0.2505,1.9991 +/- 0.2371,1.8838 +/- 0.2288,1.8810 +/- 0.2556,1.9948 +/- 0.2154,2.6450 +/- 0.3324
bike_sharing,49.9855 +/- 2.0232,43.7447 +/- 1.2769,58.9578 +/- 5.3031,53.0434 +/- 2.6036,52.3072 +/- 0.8663,56.9393 +/- 0.5027,46.6586 +/- 0.7883,45.4636 +/- 0.6577,44.5016 +/- 1.7199,44.7814 +/- 1.9351,103.1476 +/- 2.8260
body_fat,0.0121 +/- 0.0015,0.0110 +/- 0.0006,0.0113 +/- 0.0014,0.0105 +/- 0.0007,0.0106 +/- 0.0009,0.0112 +/- 0.0014,0.0132 +/- 0.0013,0.0117 +/- 0.0011,0.0117 +/- 0.0011,0.0132 +/- 0.0013,0.0130 +/- 0.0016
califonia_housing,0.4638 +/- 0.0095,0.5075 +/- 0.0097,0.6521 +/- 0.0485,0.6702 +/- 0.1590,0.5804 +/- 0.0422,0.5945 +/- 0.0197,0.4501 +/- 0.0124,0.4478 +/- 0.0127,0.4501 +/- 0.0162,0.4485 +/- 0.0104,0.6345 +/- 0.0240
car,15034.9416 +/- 1960.6138,18037.6945 +/- 2748.3131,12821.6574 +/- 2145.0243,11604.1850 +/- 1444.2962,12606.3096 +/- 1291.2068,13373.5955 +/- 1467.5713,9912.4076 +/- 1691.9814,9909.8252 +/- 1375.7225,9730.2264 +/- 1287.1770,9994.8506 +/- 1554.8384,12365.6066 +/- 1753.7516
diabets,58.5988 +/- 3.2137,53.8498 +/- 2.8265,54.5440 +/- 4.0522,54.6047 +/- 3.2088,54.2233 +/- 2.4105,54.4565 +/- 4.0366,58.8463 +/- 3.0250,56.8663 +/- 1.6980,56.6499 +/- 1.3381,59.1023 +/- 2.8654,59.2010 +/- 3.2875
energy_efficiency,1.0268 +/- 0.1836,2.0758 +/- 0.2877,0.9246 +/- 0.0792,1.0725 +/- 0.1539,1.0168 +/- 0.1463,1.0515 +/- 0.2486,0.5121 +/- 0.0279,0.5041 +/- 0.0338,0.5655 +/- 0.1082,0.5682 +/- 0.1250,2.2605 +/- 0.1120
student_performance,1.5060 +/- 0.3943,1.3576 +/- 0.3079,1.2980 +/- 0.3133,1.3408 +/- 0.3176,1.2975 +/- 0.3209,1.2694 +/- 0.3114,1.5975 +/- 0.2249,1.4338 +/- 0.3439,1.4451 +/- 0.2950,1.7377 +/- 0.2188,2.2185 +/- 0.4210
wine,0.6100 +/- 0.0089,0.6627 +/- 0.0069,0.6103 +/- 0.0035,0.6092 +/- 0.0049,0.6120 +/- 0.0041,0.6140 +/- 0.0043,0.6294 +/- 0.0054,0.6229 +/- 0.0065,0.6215 +/- 0.0055,0.6304 +/- 0.0054,0.6347 +/- 0.0057
yacht,2.9590 +/- 0.8684,2.8607 +/- 0.9752,5.9550 +/- 1.9212,3.5287 +/- 1.3465,1.6095 +/- 0.4468,2.5082 +/- 0.6678,1.5753 +/- 0.4901,1.4211 +/- 0.5501,1.1825 +/- 0.3238,1.4043 +/- 0.4009,8.5505 +/- 2.0717
