dataset,mode,fold,run_index,family_id,family_label,result_type,result_label,rmse_raw,rmse_model_space,standardized_targets,source,entry_id,entry_label
abalone,kfold,3,3,mlp,MLP,baseline,MLP,2.1863555908203125,0.6884751319885254,True,baseline,mlp,MLP
abalone,kfold,4,4,knn_x,kNN(X),baseline,kNN(X),2.4737143516540527,0.781943678855896,True,baseline,knn_x,kNN(X)
abalone,kfold,4,4,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,2.23335599899292,0.7059661746025085,True,baseline,mlkr_knn,MLKR+kNN
abalone,kfold,4,4,mlp,MLP,baseline,MLP,2.160306215286255,0.6828750371932983,True,baseline,mlp,MLP
abalone,kfold,5,5,knn_x,kNN(X),baseline,kNN(X),2.123155355453491,0.6443847417831421,True,baseline,knn_x,kNN(X)
abalone,kfold,5,5,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,1.9266448020935059,0.5847430229187012,True,baseline,mlkr_knn,MLKR+kNN
abalone,kfold,5,5,mlp,MLP,baseline,MLP,1.860963225364685,0.5648084878921509,True,baseline,mlp,MLP
body_fat,kfold,1,1,knn_x,kNN(X),baseline,kNN(X),0.014741739258170128,0.8103492259979248,True,baseline,knn_x,kNN(X)
body_fat,kfold,1,1,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,0.013269107788801193,0.7293993830680847,True,baseline,mlkr_knn,MLKR+kNN
body_fat,kfold,1,1,mlp,MLP,baseline,MLP,0.011111914180219173,0.6108192801475525,True,baseline,mlp,MLP
body_fat,kfold,2,2,knn_x,kNN(X),baseline,kNN(X),0.011243720538914204,0.570518970489502,True,baseline,knn_x,kNN(X)
body_fat,kfold,2,2,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,0.01012151874601841,0.5135767459869385,True,baseline,mlkr_knn,MLKR+kNN
body_fat,kfold,2,2,mlp,MLP,baseline,MLP,0.010319329798221588,0.523613691329956,True,baseline,mlp,MLP
body_fat,kfold,3,3,knn_x,kNN(X),baseline,kNN(X),0.01244825217872858,0.6665337681770325,True,baseline,knn_x,kNN(X)
body_fat,kfold,3,3,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,0.012022197246551514,0.6437203288078308,True,baseline,mlkr_knn,MLKR+kNN
body_fat,kfold,3,3,mlp,MLP,baseline,MLP,0.011162213049829006,0.5976728200912476,True,baseline,mlp,MLP
