dataset,family_id,family_label,result_type,result_label,num_folds,rmse_raw_mean,rmse_raw_std,rmse_raw_table,mode,source,entry_id,entry_label
yacht,softmax_locality,NN-kNN (softmax) + locality,locality + adaptation,locality + adaptation,5,3.9115126371383666,1.4906850545059556,3.9115 +/- 1.4907,,nnknn,softmax_locality:locality + adaptation,NN-kNN (softmax) + locality - locality + adaptation
yacht,sparsemax,NN-kNN (sparsemax),pure,pure,5,2.2051124930381776,1.739148142750339,2.2051 +/- 1.7391,,nnknn,sparsemax:pure,NN-kNN (sparsemax) - pure
yacht,sparsemax,NN-kNN (sparsemax),adaptation,adaptation,5,1.2486364722251893,0.5996022579353311,1.2486 +/- 0.5996,,nnknn,sparsemax:adaptation,NN-kNN (sparsemax) - adaptation
yacht,sparsemax_locality,NN-kNN (sparsemax) + locality,locality,locality,5,1.4595641136169433,0.4410482329188421,1.4596 +/- 0.4410,,nnknn,sparsemax_locality:locality,NN-kNN (sparsemax) + locality - locality
yacht,sparsemax_locality,NN-kNN (sparsemax) + locality,locality + adaptation,locality + adaptation,5,1.4348948359489442,0.536865334960647,1.4349 +/- 0.5369,,nnknn,sparsemax_locality:locality + adaptation,NN-kNN (sparsemax) + locality - locality + adaptation
energy_efficiency,softmax,NN-kNN (softmax),pure,pure,5,1.1304367661476136,0.19193668266806324,1.1304 +/- 0.1919,,nnknn,softmax:pure,NN-kNN (softmax) - pure
energy_efficiency,softmax,NN-kNN (softmax),adaptation,adaptation,5,1.03904550075531,0.1375423548882381,1.0390 +/- 0.1375,,nnknn,softmax:adaptation,NN-kNN (softmax) - adaptation
energy_efficiency,softmax_locality,NN-kNN (softmax) + locality,locality,locality,5,0.9321430802345276,0.17664085405941848,0.9321 +/- 0.1766,,nnknn,softmax_locality:locality,NN-kNN (softmax) + locality - locality
energy_efficiency,softmax_locality,NN-kNN (softmax) + locality,locality + adaptation,locality + adaptation,5,1.016068983078003,0.14920031046406756,1.0161 +/- 0.1492,,nnknn,softmax_locality:locality + adaptation,NN-kNN (softmax) + locality - locality + adaptation
energy_efficiency,sparsemax,NN-kNN (sparsemax),pure,pure,5,0.528538829088211,0.041657996168815006,0.5285 +/- 0.0417,,nnknn,sparsemax:pure,NN-kNN (sparsemax) - pure
energy_efficiency,sparsemax,NN-kNN (sparsemax),adaptation,adaptation,5,0.5288092970848084,0.04854059549720897,0.5288 +/- 0.0485,,nnknn,sparsemax:adaptation,NN-kNN (sparsemax) - adaptation
energy_efficiency,sparsemax_locality,NN-kNN (sparsemax) + locality,locality,locality,5,0.4846122324466705,0.046886442962349444,0.4846 +/- 0.0469,,nnknn,sparsemax_locality:locality,NN-kNN (sparsemax) + locality - locality
energy_efficiency,sparsemax_locality,NN-kNN (sparsemax) + locality,locality + adaptation,locality + adaptation,5,0.48519731760025026,0.05006402748896222,0.4852 +/- 0.0501,,nnknn,sparsemax_locality:locality + adaptation,NN-kNN (sparsemax) + locality - locality + adaptation
bike_sharing,softmax,NN-kNN (softmax),pure,pure,5,57.23661575317383,2.3490365337577463,57.2366 +/- 2.3490,,nnknn,softmax:pure,NN-kNN (softmax) - pure
bike_sharing,softmax,NN-kNN (softmax),adaptation,adaptation,5,52.201142120361325,2.1365022177285398,52.2011 +/- 2.1365,,nnknn,softmax:adaptation,NN-kNN (softmax) - adaptation
bike_sharing,softmax_locality,NN-kNN (softmax) + locality,locality,locality,5,63.07714767456055,6.159367630680638,63.0771 +/- 6.1594,,nnknn,softmax_locality:locality,NN-kNN (softmax) + locality - locality
bike_sharing,softmax_locality,NN-kNN (softmax) + locality,locality + adaptation,locality + adaptation,5,56.87401657104492,3.96408968284803,56.8740 +/- 3.9641,,nnknn,softmax_locality:locality + adaptation,NN-kNN (softmax) + locality - locality + adaptation
bike_sharing,sparsemax,NN-kNN (sparsemax),pure,pure,5,43.73451156616211,2.5481863604002775,43.7345 +/- 2.5482,,nnknn,sparsemax:pure,NN-kNN (sparsemax) - pure
bike_sharing,sparsemax,NN-kNN (sparsemax),adaptation,adaptation,5,43.76748123168945,2.6184316677409836,43.7675 +/- 2.6184,,nnknn,sparsemax:adaptation,NN-kNN (sparsemax) - adaptation
bike_sharing,sparsemax_locality,NN-kNN (sparsemax) + locality,locality,locality,5,47.24659957885742,2.673832993601133,47.2466 +/- 2.6738,,nnknn,sparsemax_locality:locality,NN-kNN (sparsemax) + locality - locality
bike_sharing,sparsemax_locality,NN-kNN (sparsemax) + locality,locality + adaptation,locality + adaptation,5,45.9002182006836,2.5047511613411166,45.9002 +/- 2.5048,,nnknn,sparsemax_locality:locality + adaptation,NN-kNN (sparsemax) + locality - locality + adaptation
wine,softmax,NN-kNN (softmax),pure,pure,5,0.6116900324821473,0.02929789975627597,0.6117 +/- 0.0293,,nnknn,softmax:pure,NN-kNN (softmax) - pure
wine,softmax,NN-kNN (softmax),adaptation,adaptation,5,0.6113096833229065,0.030028585967241596,0.6113 +/- 0.0300,,nnknn,softmax:adaptation,NN-kNN (softmax) - adaptation
wine,softmax_locality,NN-kNN (softmax) + locality,locality,locality,5,0.6085588812828064,0.030014498786254725,0.6086 +/- 0.0300,,nnknn,softmax_locality:locality,NN-kNN (softmax) + locality - locality
wine,softmax_locality,NN-kNN (softmax) + locality,locality + adaptation,locality + adaptation,5,0.6076358318328857,0.031701642685090244,0.6076 +/- 0.0317,,nnknn,softmax_locality:locality + adaptation,NN-kNN (softmax) + locality - locality + adaptation
wine,sparsemax,NN-kNN (sparsemax),pure,pure,5,0.6295340418815613,0.0254586477836633,0.6295 +/- 0.0255,,nnknn,sparsemax:pure,NN-kNN (sparsemax) - pure
wine,sparsemax,NN-kNN (sparsemax),adaptation,adaptation,5,0.6242943406105042,0.025339427462152557,0.6243 +/- 0.0253,,nnknn,sparsemax:adaptation,NN-kNN (sparsemax) - adaptation
wine,sparsemax_locality,NN-kNN (sparsemax) + locality,locality,locality,5,0.6286048531532288,0.024905237203373967,0.6286 +/- 0.0249,,nnknn,sparsemax_locality:locality,NN-kNN (sparsemax) + locality - locality
wine,sparsemax_locality,NN-kNN (sparsemax) + locality,locality + adaptation,locality + adaptation,5,0.621613371372223,0.02764012435726659,0.6216 +/- 0.0276,,nnknn,sparsemax_locality:locality + adaptation,NN-kNN (sparsemax) + locality - locality + adaptation
