dataset,mode,fold,run_index,family_id,family_label,result_type,result_label,rmse_raw,rmse_model_space,standardized_targets,source,entry_id,entry_label,resume_source
abalone,kfold,3,3,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,2.0921120643615723,0.6520934104919434,True,baseline,mlkr_knn,MLKR+kNN,
abalone,kfold,3,3,mlp,MLP,baseline,MLP,2.0071394443511963,0.6256080865859985,True,baseline,mlp,MLP,
abalone,kfold,4,4,knn_x,kNN(X),baseline,kNN(X),2.383373260498047,0.7357414364814758,True,baseline,knn_x,kNN(X),
abalone,kfold,4,4,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,2.188502073287964,0.675585150718689,True,baseline,mlkr_knn,MLKR+kNN,
abalone,kfold,4,4,mlp,MLP,baseline,MLP,2.1564688682556152,0.6656965613365173,True,baseline,mlp,MLP,
abalone,kfold,5,5,knn_x,kNN(X),baseline,kNN(X),2.4329850673675537,0.762383759021759,True,baseline,knn_x,kNN(X),
abalone,kfold,5,5,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,2.2483768463134766,0.7045361399650574,True,baseline,mlkr_knn,MLKR+kNN,
abalone,kfold,5,5,mlp,MLP,baseline,MLP,2.1836912631988525,0.6842667460441589,True,baseline,mlp,MLP,
body_fat,kfold,1,1,knn_x,kNN(X),baseline,kNN(X),0.013309074565768242,0.7048555016517639,True,baseline,knn_x,kNN(X),
body_fat,kfold,1,1,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,0.012504564598202705,0.6622475981712341,True,baseline,mlkr_knn,MLKR+kNN,
body_fat,kfold,1,1,mlp,MLP,baseline,MLP,0.011618446558713913,0.6153180599212646,True,baseline,mlp,MLP,
body_fat,kfold,2,2,knn_x,kNN(X),baseline,kNN(X),0.011794491671025753,0.6135547757148743,True,baseline,knn_x,kNN(X),
body_fat,kfold,2,2,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,0.011279729194939137,0.5867766737937927,True,baseline,mlkr_knn,MLKR+kNN,
body_fat,kfold,2,2,mlp,MLP,baseline,MLP,0.009761279448866844,0.5077861547470093,True,baseline,mlp,MLP,
body_fat,kfold,3,3,knn_x,kNN(X),baseline,kNN(X),0.014867745339870453,0.8365997672080994,True,baseline,knn_x,kNN(X),
body_fat,kfold,3,3,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,0.01526895072311163,0.8591756820678711,True,baseline,mlkr_knn,MLKR+kNN,
body_fat,kfold,3,3,mlp,MLP,baseline,MLP,0.011620348319411278,0.6538705825805664,True,baseline,mlp,MLP,
body_fat,kfold,4,4,knn_x,kNN(X),baseline,kNN(X),0.010416064411401749,0.542346715927124,True,baseline,knn_x,kNN(X),
body_fat,kfold,4,4,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,0.009369981475174427,0.4878789782524109,True,baseline,mlkr_knn,MLKR+kNN,
body_fat,kfold,4,4,mlp,MLP,baseline,MLP,0.009072968736290932,0.47241389751434326,True,baseline,mlp,MLP,
body_fat,kfold,5,5,knn_x,kNN(X),baseline,kNN(X),0.013715279288589954,0.7235390543937683,True,baseline,knn_x,kNN(X),
body_fat,kfold,5,5,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,0.012090378440916538,0.6378190517425537,True,baseline,mlkr_knn,MLKR+kNN,
body_fat,kfold,5,5,mlp,MLP,baseline,MLP,0.011074448004364967,0.5842244029045105,True,baseline,mlp,MLP,
airfoil,kfold,1,1,knn_x,kNN(X),baseline,kNN(X),2.592505931854248,0.3714722692966461,True,baseline,knn_x,kNN(X),
airfoil,kfold,1,1,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,2.6417899131774902,0.3785339593887329,True,baseline,mlkr_knn,MLKR+kNN,
airfoil,kfold,1,1,mlp,MLP,baseline,MLP,2.2365384101867676,0.3204667568206787,True,baseline,mlp,MLP,
airfoil,kfold,2,2,knn_x,kNN(X),baseline,kNN(X),2.6123104095458984,0.37969982624053955,True,baseline,knn_x,kNN(X),
airfoil,kfold,2,2,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,2.4966251850128174,0.36288487911224365,True,baseline,mlkr_knn,MLKR+kNN,
airfoil,kfold,2,2,mlp,MLP,baseline,MLP,2.34092378616333,0.34025368094444275,True,baseline,mlp,MLP,
airfoil,kfold,3,3,knn_x,kNN(X),baseline,kNN(X),2.5987560749053955,0.3778531849384308,True,baseline,knn_x,kNN(X),
airfoil,kfold,3,3,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,2.79469895362854,0.40634283423423767,True,baseline,mlkr_knn,MLKR+kNN,
